('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         962078 function calls (937808 primitive calls) in 7.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      123    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      336    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       64    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      415    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      315    0.000    0.000    0.096    0.000 __init__.py:226(compile)
      236    0.000    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      196    0.000    0.000    0.166    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
      355    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      195    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      164    0.000    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      522    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       62    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
       88    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      214    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      337    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      354    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      514    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
    80/47    0.000    0.000    0.173    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      390    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.039    0.039 dammit.py:1(<module>)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      954    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      197    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.240    0.240 financial.py:8(parse_html)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        3    0.000    0.000    0.023    0.008 utils.py:1(<module>)
