('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         955271 function calls (930985 primitive calls) in 2.643 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      256    0.000    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      800    0.000    0.000    0.000    0.000 element.py:2355(get)
      509    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
     1293    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      821    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      170    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
  165/162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.013    0.013 packages.py:1(<module>)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      216    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
       23    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      751    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      821    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      423    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       88    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
      177    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      713    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      100    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       55    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      145    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      336    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       64    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      123    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      415    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      262    0.000    0.000    0.006    0.000 response.py:619(_decode)
       62    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      196    0.000    0.000    0.163    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
      236    0.000    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      348    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      314    0.000    0.000    0.095    0.000 __init__.py:226(compile)
       88    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      522    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      164    0.000    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      195    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
