Sat Feb  7 17:53:32 2026    profile_http.prof

         415863 function calls (393293 primitive calls) in 0.492 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       87    0.000    0.000    0.001    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/typing_extensions.py:3228(_collect_parameters)
      747    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:83(groups)
      362    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      478    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1129(__new__)
     1104    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      687    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.001    0.001 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/charset_normalizer/constant.py:1(<module>)
      322    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      536    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:59(_is_sunder)
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.12/typing.py:1(<module>)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      185    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      687    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       58    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1449(__getitem__)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      200    0.000    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       86    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:812(parse_combinator)
      746    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      357    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:166(_type_convert)
      142    0.000    0.000    0.001    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_types.py:203(__init__)
      381    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/locale.py:1(<module>)
       91    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1551(__or__)
       62    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:345(_remove_dups_flatten)
      312    0.000    0.000    0.000    0.000 /usr/lib/python3.12/types.py:192(__init__)
      391    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      285    0.000    0.000    0.000    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:344(match)
